mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
mutation_1,passing,0.925621,0.990654,1.000000,1.000000,0.804878,0.797468,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_11,passing,0.775087,1.000000,0.870370,0.831325,0.674699,0.609756,0.613861,0.606061,0.606061,0.576577,0.694444,0.678832,1.000000,0.632258,0.674242,0.674242,0.674242,0.683824,0.683824,0.683824,0.683824,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_14,passing,0.923713,1.000000,0.990741,0.987805,0.792683,0.772152,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_16,passing,0.626360,0.691589,0.500000,0.573171,0.487805,0.493671,0.397849,0.444444,0.444444,0.420455,0.479339,0.451327,1.000000,0.470588,0.495238,0.495238,0.495238,0.486239,0.486239,0.486239,0.486239,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_19,passing,0.917548,0.990741,0.990826,0.987952,0.795181,0.787500,0.819149,0.804878,0.804878,0.813187,0.895161,0.904348,1.000000,0.909091,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_21,passing,0.917219,0.971963,0.972222,0.987952,0.795181,0.784810,0.817204,0.802469,0.802469,0.829545,0.909091,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_22,passing,0.633792,0.700935,0.509259,0.585366,0.500000,0.506329,0.408602,0.456790,0.456790,0.431818,0.487603,0.460177,1.000000,0.478992,0.504762,0.504762,0.504762,0.495413,0.495413,0.495413,0.495413,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_25,passing,0.914162,0.990654,0.981481,0.975610,0.780488,0.759494,0.806452,0.790123,0.790123,0.818182,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_27,passing,0.795206,0.971963,0.972222,0.963415,0.722892,0.721519,0.741935,0.530864,0.530864,0.545455,0.636364,0.663717,1.000000,0.697479,0.704762,0.704762,0.704762,0.715596,0.715596,0.715596,0.715596,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_28,passing,0.904013,1.000000,0.953704,0.939024,0.768293,0.759494,0.806452,0.802469,0.802469,0.806818,0.892562,0.893805,1.000000,0.899160,0.885714,0.885714,0.885714,0.880734,0.880734,0.880734,0.880734,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_29,passing,0.919249,0.946429,0.964286,0.987952,0.771084,0.775000,0.810526,0.814815,0.814815,0.840909,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_30,passing,0.923713,1.000000,0.990741,0.987805,0.792683,0.772152,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_32,passing,0.925981,1.000000,1.000000,1.000000,0.804878,0.797468,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_33,passing,0.850497,0.962963,0.963303,0.951807,0.714286,0.700000,0.715789,0.617284,0.617284,0.602273,0.743802,0.798246,1.000000,0.815126,0.841121,0.841121,0.841121,0.846847,0.846847,0.846847,0.846847,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
