mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
mutation_1,passing,0.923687,0.990654,0.990741,1.000000,0.792683,0.784810,0.838710,0.839506,0.839506,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_11,passing,0.721778,1.000000,0.842593,0.795181,0.614458,0.560976,0.574257,0.565657,0.565657,0.549550,0.631944,0.613139,1.000000,0.529032,0.553030,0.553030,0.553030,0.566176,0.566176,0.566176,0.566176,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_14,passing,0.922134,1.000000,0.990741,0.987805,0.780488,0.759494,0.838710,0.839506,0.839506,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_16,passing,0.564570,0.654206,0.407407,0.451220,0.378049,0.379747,0.322581,0.345679,0.345679,0.352273,0.396694,0.407080,1.000000,0.394958,0.409524,0.409524,0.409524,0.403670,0.403670,0.403670,0.403670,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_19,passing,0.915974,0.990741,0.990826,0.987952,0.783133,0.775000,0.829787,0.829268,0.829268,0.835165,0.879032,0.895652,1.000000,0.900826,0.896226,0.896226,0.896226,0.900000,0.900000,0.900000,0.900000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_21,passing,0.914004,0.962617,0.962963,0.975904,0.771084,0.772152,0.827957,0.827160,0.827160,0.852273,0.892562,0.902655,1.000000,0.907563,0.895238,0.895238,0.895238,0.899083,0.899083,0.899083,0.899083,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_22,passing,0.572362,0.672897,0.416667,0.463415,0.390244,0.392405,0.333333,0.358025,0.358025,0.363636,0.404959,0.415929,1.000000,0.403361,0.419048,0.419048,0.419048,0.412844,0.412844,0.412844,0.412844,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_25,passing,0.909086,0.981308,0.972222,0.963415,0.768293,0.746835,0.806452,0.790123,0.790123,0.840909,0.884298,0.902655,1.000000,0.907563,0.895238,0.895238,0.895238,0.899083,0.899083,0.899083,0.899083,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_27,passing,0.752029,0.962617,0.962963,0.951220,0.686747,0.696203,0.709677,0.469136,0.469136,0.488636,0.578512,0.575221,1.000000,0.613445,0.619048,0.619048,0.619048,0.633028,0.633028,0.633028,0.633028,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_28,passing,0.894947,1.000000,0.944444,0.926829,0.743902,0.734177,0.795699,0.814815,0.814815,0.818182,0.867769,0.876106,1.000000,0.882353,0.866667,0.866667,0.866667,0.862385,0.862385,0.862385,0.862385,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_29,passing,0.914770,0.937500,0.955357,0.975904,0.746988,0.750000,0.800000,0.839506,0.839506,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
