mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
mutation_1,passing,0.935694,1.000000,0.990741,1.000000,0.841463,0.835443,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_11,passing,0.774611,1.000000,0.870370,0.831325,0.698795,0.634146,0.623762,0.616162,0.616162,0.585586,0.680556,0.664234,1.000000,0.612903,0.666667,0.666667,0.666667,0.676471,0.676471,0.676471,0.676471,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_14,passing,0.933782,1.000000,0.990741,0.987805,0.829268,0.810127,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_16,passing,0.618500,0.691589,0.490741,0.548780,0.475610,0.481013,0.387097,0.432099,0.432099,0.409091,0.462810,0.442478,1.000000,0.462185,0.485714,0.485714,0.485714,0.477064,0.477064,0.477064,0.477064,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_19,passing,0.927460,0.990741,0.990826,0.987952,0.831325,0.825000,0.861702,0.853659,0.853659,0.857143,0.895161,0.904348,1.000000,0.909091,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_21,passing,0.926915,0.971963,0.962963,0.987952,0.831325,0.822785,0.860215,0.851852,0.851852,0.875000,0.909091,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_22,passing,0.625932,0.700935,0.500000,0.560976,0.487805,0.493671,0.397849,0.444444,0.444444,0.420455,0.471074,0.451327,1.000000,0.470588,0.495238,0.495238,0.495238,0.486239,0.486239,0.486239,0.486239,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_25,passing,0.924231,0.990654,0.981481,0.975610,0.817073,0.797468,0.849462,0.839506,0.839506,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_27,passing,0.798238,0.971963,0.972222,0.963415,0.759036,0.759494,0.784946,0.555556,0.555556,0.556818,0.619835,0.654867,1.000000,0.689076,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_28,passing,0.914081,1.000000,0.953704,0.939024,0.804878,0.797468,0.849462,0.851852,0.851852,0.852273,0.892562,0.893805,1.000000,0.899160,0.885714,0.885714,0.885714,0.880734,0.880734,0.880734,0.880734,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_29,passing,0.928561,0.937500,0.955357,0.987952,0.807229,0.812500,0.852632,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_30,passing,0.933782,1.000000,0.990741,0.987805,0.829268,0.810127,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_32,passing,0.936050,1.000000,1.000000,1.000000,0.841463,0.835443,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_33,passing,0.857791,0.962963,0.963303,0.951807,0.750000,0.737500,0.757895,0.654321,0.654321,0.636364,0.735537,0.789474,1.000000,0.798319,0.841121,0.841121,0.841121,0.846847,0.846847,0.846847,0.846847,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_35,passing,0.924725,0.990741,0.981651,0.975904,0.807229,0.784810,0.851064,0.841463,0.841463,0.876404,0.909836,0.912281,1.000000,0.916667,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_36,passing,0.928561,0.937500,0.955357,0.987952,0.807229,0.812500,0.852632,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_37,passing,0.933440,0.990654,0.990741,0.987805,0.817073,0.822785,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_38,passing,0.792004,0.909910,0.927928,0.963415,0.734940,0.746835,0.765957,0.555556,0.555556,0.556818,0.619835,0.654867,1.000000,0.689076,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_39,passing,0.705969,0.962963,0.842593,0.797619,0.611765,0.566265,0.543689,0.432099,0.432099,0.431818,0.528926,0.530973,1.000000,0.546218,0.580952,0.580952,0.580952,0.596330,0.596330,0.596330,0.596330,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_4,passing,0.933782,1.000000,0.990741,0.987805,0.829268,0.810127,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_41,passing,0.927460,0.990741,0.990826,0.987952,0.831325,0.825000,0.861702,0.853659,0.853659,0.857143,0.895161,0.904348,1.000000,0.909091,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_42,passing,0.936050,1.000000,1.000000,1.000000,0.841463,0.835443,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_46,passing,0.431728,0.448598,0.259259,0.304878,0.231707,0.164557,0.139785,0.160494,0.160494,0.181818,0.223140,0.238938,1.000000,0.210084,0.219048,0.219048,0.219048,0.211009,0.211009,0.211009,0.211009,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_47,passing,0.933782,1.000000,0.990741,0.987805,0.829268,0.810127,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
