mutation,label,global,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
mutation_1,passing,0.899852,0.990654,0.977778,0.992683,0.763415,0.764557,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,1.000000,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_11,passing,0.728974,1.000000,0.829630,0.792771,0.614458,0.556098,0.552475,0.541414,0.541414,0.524324,0.630556,0.608759,1.000000,0.557419,0.595455,0.595455,0.595455,0.604412,0.604412,0.604412,0.604412,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_14,passing,0.898509,1.000000,0.983333,0.980488,0.753659,0.736709,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,1.000000,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_16,passing,0.579350,0.652336,0.442593,0.500000,0.414634,0.417722,0.337634,0.375309,0.375309,0.356818,0.406612,0.392920,1.000000,0.410084,0.428571,0.428571,0.428571,0.423853,0.423853,0.423853,0.423853,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_19,passing,0.890739,0.988889,0.988991,0.985542,0.754217,0.750000,0.778723,0.773171,0.773171,0.784615,0.841935,0.850435,1.000000,0.859504,0.858491,0.858491,0.858491,0.863636,0.863636,0.863636,0.863636,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_21,passing,0.889904,0.949533,0.938889,0.975904,0.751807,0.751899,0.782796,0.777778,0.777778,0.806818,0.859504,0.860177,1.000000,0.870588,0.859048,0.859048,0.859048,0.864220,0.864220,0.864220,0.864220,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_22,passing,0.589766,0.671028,0.457407,0.519512,0.431707,0.432911,0.350538,0.390123,0.390123,0.372727,0.418182,0.405310,1.000000,0.421849,0.441905,0.441905,0.441905,0.436697,0.436697,0.436697,0.436697,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_25,passing,0.880251,0.977570,0.961111,0.951220,0.726829,0.711392,0.748387,0.735802,0.735802,0.781818,0.841322,0.854867,1.000000,0.865546,0.853333,0.853333,0.853333,0.858716,0.858716,0.858716,0.858716,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_27,passing,0.746826,0.958879,0.959259,0.946341,0.667470,0.660759,0.660215,0.466667,0.466667,0.481818,0.555372,0.582301,1.000000,0.615126,0.619048,0.619048,0.619048,0.634862,0.634862,0.634862,0.634862,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_28,passing,0.872463,1.000000,0.931481,0.914634,0.717073,0.713924,0.756989,0.767901,0.767901,0.777273,0.838017,0.837168,1.000000,0.848739,0.834286,0.834286,0.834286,0.827523,0.827523,0.827523,0.827523,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
