program,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
seed,seed,0.734695,0.000000,0.307407,0.720370,0.265854,0.814634,0.621505,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_1,passing,0.734824,0.000000,0.309259,0.718519,0.265854,0.817073,0.621505,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_11,passing,0.741268,0.000000,0.353271,0.746667,0.257831,0.780723,0.633663,0.930693,1.000000,0.517117,0.683333,0.925000,0.629677,0.802581,1.000000,1.000000,0.854412,1.000000,0.969118,1.000000
mutation_14,passing,0.735827,0.000000,0.307407,0.720370,0.265854,0.814634,0.643011,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_16,passing,0.757700,0.000000,0.379487,0.803125,0.285185,0.862963,0.930769,0.904000,1.000000,0.529412,0.583562,0.731507,0.662500,0.859375,1.000000,1.000000,0.891525,1.000000,0.972881,1.000000
mutation_19,passing,0.733906,0.000000,0.313761,0.722936,0.262651,0.816867,0.623404,0.782979,1.000000,0.518681,0.645161,0.896774,0.702479,0.833058,1.000000,1.000000,0.867273,1.000000,0.958182,1.000000
mutation_21,passing,0.734712,0.000000,0.308411,0.732710,0.262651,0.804819,0.621505,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_22,passing,0.757700,0.000000,0.379487,0.803125,0.285185,0.862963,0.930769,0.904000,1.000000,0.529412,0.583562,0.731507,0.662500,0.859375,1.000000,1.000000,0.891525,1.000000,0.972881,1.000000
mutation_25,passing,0.735827,0.000000,0.307407,0.720370,0.265854,0.814634,0.643011,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_27,passing,0.717017,0.000000,0.298148,0.720370,0.260241,0.790361,0.617391,0.526087,1.000000,0.533333,0.630435,0.965217,0.645652,0.852174,1.000000,1.000000,0.832184,1.000000,0.951724,1.000000
mutation_28,passing,0.735486,0.000000,0.310280,0.719626,0.269136,0.817284,0.642697,0.786517,1.000000,0.534118,0.623729,0.900000,0.698276,0.834483,1.000000,1.000000,0.881905,1.000000,0.956190,1.000000
mutation_29,passing,0.731627,0.000000,0.296429,0.701786,0.262651,0.814458,0.616842,0.762105,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_30,passing,0.735827,0.000000,0.307407,0.720370,0.265854,0.814634,0.643011,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_32,passing,0.735018,0.000000,0.309259,0.722222,0.265854,0.817073,0.621505,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_33,passing,0.731882,0.000000,0.304587,0.722936,0.257143,0.797619,0.616842,0.694737,1.000000,0.527711,0.615517,0.972414,0.695726,0.873504,1.000000,1.000000,0.868468,1.000000,0.958559,1.000000
mutation_35,passing,0.736011,0.000000,0.313761,0.722936,0.262651,0.814458,0.646809,0.785106,1.000000,0.530337,0.637705,0.900000,0.706667,0.838333,1.000000,1.000000,0.867273,1.000000,0.958182,1.000000
mutation_36,passing,0.731627,0.000000,0.296429,0.701786,0.262651,0.814458,0.616842,0.762105,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_37,passing,0.736075,0.000000,0.310280,0.719626,0.269136,0.824691,0.632258,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_38,passing,0.715785,0.000000,0.291892,0.700901,0.260241,0.800000,0.623404,0.512766,1.000000,0.533333,0.630435,0.965217,0.645652,0.852174,1.000000,1.000000,0.832184,1.000000,0.951724,1.000000
mutation_39,passing,0.722544,0.000000,0.353704,0.749057,0.251765,0.785882,0.629126,0.516505,1.000000,0.532432,0.650000,0.982000,0.626000,0.854000,1.000000,1.000000,0.834043,1.000000,0.963830,1.000000
mutation_4,passing,0.735827,0.000000,0.307407,0.720370,0.265854,0.814634,0.643011,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_41,passing,0.733906,0.000000,0.313761,0.722936,0.262651,0.816867,0.623404,0.782979,1.000000,0.518681,0.645161,0.896774,0.702479,0.833058,1.000000,1.000000,0.867273,1.000000,0.958182,1.000000
mutation_42,passing,0.735018,0.000000,0.309259,0.722222,0.265854,0.817073,0.621505,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_46,passing,0.753171,0.000000,0.411538,0.864706,0.219355,0.541935,0.700000,1.000000,1.000000,0.457143,0.432432,1.000000,0.848649,0.875676,1.000000,1.000000,1.000000,1.000000,0.958824,1.000000
mutation_47,passing,0.735827,0.000000,0.307407,0.720370,0.265854,0.814634,0.643011,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_48,passing,0.734695,0.000000,0.307407,0.720370,0.265854,0.814634,0.621505,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_49,passing,0.717017,0.000000,0.298148,0.720370,0.260241,0.790361,0.617391,0.526087,1.000000,0.533333,0.630435,0.965217,0.645652,0.852174,1.000000,1.000000,0.832184,1.000000,0.951724,1.000000
mutation_5,passing,0.717494,0.000000,0.300935,0.732710,0.257143,0.776190,0.610870,0.528261,1.000000,0.545455,0.619565,0.965217,0.658065,0.851613,1.000000,1.000000,0.834091,1.000000,0.952273,1.000000
mutation_6,passing,0.736075,0.000000,0.310280,0.719626,0.269136,0.824691,0.632258,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_8,passing,0.718161,0.000000,0.298148,0.720370,0.260241,0.790361,0.639130,0.526087,1.000000,0.533333,0.630435,0.965217,0.645652,0.852174,1.000000,1.000000,0.832184,1.000000,0.951724,1.000000
mutation_9,passing,0.735827,0.000000,0.307407,0.720370,0.265854,0.814634,0.643011,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_all_dif,passing,0.745050,0.000000,0.397849,0.759140,0.252632,0.818421,0.604494,0.808989,1.000000,0.554762,0.615254,0.864407,0.751351,0.857944,1.000000,1.000000,0.915152,1.000000,0.955556,1.000000
mutation_all_dif_2,passing,0.730872,0.000000,0.316364,0.725455,0.254118,0.816471,0.636735,0.806122,1.000000,0.503226,0.640945,0.853543,0.673770,0.832787,1.000000,1.000000,0.868468,1.000000,0.958559,1.000000
mutation_completely_dif,passing,0.668619,0.000000,0.321519,0.792405,0.206061,0.660526,0.575439,0.629825,1.000000,0.307407,0.711111,0.882963,0.389899,0.813131,1.000000,0.860465,0.646154,0.930256,0.976596,1.000000
mutation_completely_dif_2,passing,0.672852,0.000000,0.441379,0.806897,0.200000,0.580392,0.517647,0.794118,1.000000,0.436923,0.615385,0.949451,0.160588,0.907059,0.937778,0.936977,0.570619,0.944845,0.984127,1.000000
mutation_15,failing,0.734695,0.000000,0.307407,0.720370,0.265854,0.814634,0.621505,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_18,failing,0.734892,0.000000,0.313761,0.722936,0.262651,0.814458,0.625532,0.785106,1.000000,0.530337,0.637705,0.900000,0.706667,0.838333,1.000000,1.000000,0.867273,1.000000,0.958182,1.000000
mutation_23,failing,0.734695,0.000000,0.307407,0.720370,0.265854,0.814634,0.621505,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_24,failing,0.734695,0.000000,0.307407,0.720370,0.265854,0.814634,0.621505,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_26,failing,0.734695,0.000000,0.307407,0.720370,0.265854,0.814634,0.621505,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_31,failing,0.734695,0.000000,0.307407,0.720370,0.265854,0.814634,0.621505,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_34,failing,0.734892,0.000000,0.313761,0.722936,0.262651,0.814458,0.625532,0.785106,1.000000,0.530337,0.637705,0.900000,0.706667,0.838333,1.000000,1.000000,0.867273,1.000000,0.958182,1.000000
mutation_40,failing,0.734695,0.000000,0.307407,0.720370,0.265854,0.814634,0.621505,0.782796,1.000000,0.547727,0.634711,0.899174,0.704202,0.836975,1.000000,1.000000,0.866055,1.000000,0.957798,1.000000
mutation_43,failing,0.734892,0.000000,0.313761,0.722936,0.262651,0.814458,0.625532,0.785106,1.000000,0.530337,0.637705,0.900000,0.706667,0.838333,1.000000,1.000000,0.867273,1.000000,0.958182,1.000000
mutation_44,failing,0.734892,0.000000,0.313761,0.722936,0.262651,0.814458,0.625532,0.785106,1.000000,0.530337,0.637705,0.900000,0.706667,0.838333,1.000000,1.000000,0.867273,1.000000,0.958182,1.000000
mutation_7,failing,0.734892,0.000000,0.313761,0.722936,0.262651,0.814458,0.625532,0.785106,1.000000,0.530337,0.637705,0.900000,0.706667,0.838333,1.000000,1.000000,0.867273,1.000000,0.958182,1.000000
