program,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
seed,seed,0.771786,0.000000,0.370370,0.759259,0.317073,0.865854,0.698925,0.849462,1.000000,0.647727,0.685950,0.933884,0.781513,0.882353,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_1,passing,0.771786,0.000000,0.370370,0.759259,0.317073,0.865854,0.698925,0.849462,1.000000,0.647727,0.685950,0.933884,0.781513,0.882353,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_11,passing,0.778141,0.000000,0.420561,0.790476,0.313253,0.843373,0.712871,0.960396,1.000000,0.612613,0.736111,0.951389,0.709677,0.851613,1.000000,1.000000,0.897059,1.000000,0.985294,1.000000
mutation_14,passing,0.772918,0.000000,0.370370,0.759259,0.317073,0.865854,0.720430,0.849462,1.000000,0.647727,0.685950,0.933884,0.781513,0.882353,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_16,passing,0.794137,0.000000,0.461538,0.843750,0.351852,0.925926,0.961538,0.940000,1.000000,0.607843,0.643836,0.780822,0.750000,0.906250,1.000000,1.000000,0.932203,1.000000,0.983051,1.000000
mutation_19,passing,0.770184,0.000000,0.376147,0.761468,0.313253,0.867470,0.702128,0.851064,1.000000,0.615385,0.693548,0.927419,0.776860,0.876033,1.000000,1.000000,0.900000,1.000000,0.972727,1.000000
mutation_21,passing,0.772083,0.000000,0.373832,0.775701,0.313253,0.855422,0.698925,0.849462,1.000000,0.647727,0.685950,0.933884,0.781513,0.882353,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_22,passing,0.794137,0.000000,0.461538,0.843750,0.351852,0.925926,0.961538,0.940000,1.000000,0.607843,0.643836,0.780822,0.750000,0.906250,1.000000,1.000000,0.932203,1.000000,0.983051,1.000000
mutation_25,passing,0.772918,0.000000,0.370370,0.759259,0.317073,0.865854,0.720430,0.849462,1.000000,0.647727,0.685950,0.933884,0.781513,0.882353,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_27,passing,0.753708,0.000000,0.351852,0.759259,0.313253,0.855422,0.695652,0.586957,1.000000,0.636364,0.673913,0.978261,0.728261,0.902174,1.000000,1.000000,0.873563,1.000000,0.965517,1.000000
mutation_28,passing,0.772390,0.000000,0.373832,0.757009,0.320988,0.864198,0.719101,0.853933,1.000000,0.635294,0.677966,0.932203,0.775862,0.879310,1.000000,1.000000,0.914286,1.000000,0.971429,1.000000
mutation_29,passing,0.768855,0.000000,0.357143,0.741071,0.313253,0.867470,0.694737,0.831579,1.000000,0.647727,0.685950,0.933884,0.781513,0.882353,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
