program,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
seed,seed,0.735527,0.000000,0.305556,0.759259,0.280488,0.829268,0.569892,0.784946,1.000000,0.602273,0.619835,0.876033,0.689076,0.823529,1.000000,1.000000,0.862385,1.000000,0.972477,1.000000
mutation_1,passing,0.735040,0.000000,0.305556,0.750000,0.280488,0.829268,0.569892,0.784946,1.000000,0.602273,0.619835,0.876033,0.689076,0.823529,1.000000,1.000000,0.862385,1.000000,0.972477,1.000000
mutation_11,passing,0.740528,0.000000,0.355140,0.780952,0.253012,0.795181,0.584158,0.930693,1.000000,0.558559,0.673611,0.895833,0.619355,0.800000,1.000000,1.000000,0.838235,1.000000,0.985294,1.000000
mutation_14,passing,0.736659,0.000000,0.305556,0.759259,0.280488,0.829268,0.591398,0.784946,1.000000,0.602273,0.619835,0.876033,0.689076,0.823529,1.000000,1.000000,0.862385,1.000000,0.972477,1.000000
mutation_16,passing,0.751910,0.000000,0.358974,0.843750,0.240741,0.870370,0.884615,0.920000,1.000000,0.568627,0.534247,0.684932,0.656250,0.859375,1.000000,1.000000,0.881356,1.000000,0.983051,1.000000
mutation_19,passing,0.734498,0.000000,0.311927,0.761468,0.277108,0.831325,0.574468,0.787234,1.000000,0.571429,0.629032,0.870968,0.685950,0.818182,1.000000,1.000000,0.863636,1.000000,0.972727,1.000000
mutation_21,passing,0.735839,0.000000,0.308411,0.775701,0.277108,0.819277,0.569892,0.784946,1.000000,0.602273,0.619835,0.876033,0.689076,0.823529,1.000000,1.000000,0.862385,1.000000,0.972477,1.000000
mutation_22,passing,0.751910,0.000000,0.358974,0.843750,0.240741,0.870370,0.884615,0.920000,1.000000,0.568627,0.534247,0.684932,0.656250,0.859375,1.000000,1.000000,0.881356,1.000000,0.983051,1.000000
mutation_25,passing,0.736659,0.000000,0.305556,0.759259,0.280488,0.829268,0.591398,0.784946,1.000000,0.602273,0.619835,0.876033,0.689076,0.823529,1.000000,1.000000,0.862385,1.000000,0.972477,1.000000
mutation_27,passing,0.718117,0.000000,0.296296,0.759259,0.265060,0.783133,0.565217,0.521739,1.000000,0.606061,0.608696,0.978261,0.630435,0.836957,1.000000,1.000000,0.827586,1.000000,0.965517,1.000000
