program,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
seed,seed,0.699780,0.000000,0.314815,0.759259,0.195122,0.768293,0.634409,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_1,passing,0.699780,0.000000,0.314815,0.759259,0.195122,0.768293,0.634409,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_11,passing,0.708944,0.000000,0.355140,0.780952,0.192771,0.759036,0.653465,0.930693,1.000000,0.540541,0.680556,0.930556,0.000000,0.000000,0.800000,1.000000,1.000000,0.823529,1.000000,0.985294,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_14,passing,0.700607,0.000000,0.314815,0.759259,0.195122,0.768293,0.655914,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_16,passing,0.720715,0.000000,0.397436,0.843750,0.259259,0.833333,0.903846,0.900000,1.000000,0.568627,0.575342,0.767123,0.000000,0.000000,0.859375,1.000000,1.000000,0.847458,1.000000,0.983051,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_19,passing,0.699209,0.000000,0.321101,0.761468,0.192771,0.771084,0.638298,0.787234,1.000000,0.538462,0.629032,0.887097,0.000000,0.000000,0.834711,1.000000,1.000000,0.845455,1.000000,0.972727,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_21,passing,0.700079,0.000000,0.317757,0.775701,0.192771,0.759036,0.634409,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_22,passing,0.720715,0.000000,0.397436,0.843750,0.259259,0.833333,0.903846,0.900000,1.000000,0.568627,0.575342,0.767123,0.000000,0.000000,0.859375,1.000000,1.000000,0.847458,1.000000,0.983051,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_25,passing,0.700607,0.000000,0.314815,0.759259,0.195122,0.768293,0.655914,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_27,passing,0.690392,0.000000,0.305556,0.759259,0.192771,0.722892,0.630435,0.532609,1.000000,0.590909,0.619565,0.978261,0.000000,0.000000,0.847826,1.000000,1.000000,0.804598,1.000000,0.965517,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_28,passing,0.699756,0.000000,0.317757,0.757009,0.197531,0.765432,0.651685,0.786517,1.000000,0.552941,0.610169,0.889831,0.000000,0.000000,0.836207,1.000000,1.000000,0.857143,1.000000,0.971429,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_29,passing,0.697111,0.000000,0.303571,0.741071,0.192771,0.771084,0.631579,0.747368,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_30,passing,0.700607,0.000000,0.314815,0.759259,0.195122,0.768293,0.655914,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_32,passing,0.699780,0.000000,0.314815,0.759259,0.195122,0.768293,0.634409,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_33,passing,0.699342,0.000000,0.311927,0.761468,0.190476,0.738095,0.631579,0.705263,1.000000,0.566265,0.603448,0.982759,0.000000,0.000000,0.871795,1.000000,1.000000,0.846847,1.000000,0.972973,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_35,passing,0.700771,0.000000,0.321101,0.761468,0.192771,0.771084,0.659574,0.787234,1.000000,0.550562,0.622951,0.893443,0.000000,0.000000,0.841667,1.000000,1.000000,0.845455,1.000000,0.972727,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_36,passing,0.697111,0.000000,0.303571,0.741071,0.192771,0.771084,0.631579,0.747368,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_37,passing,0.700677,0.000000,0.317757,0.757009,0.197531,0.777778,0.645161,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_38,passing,0.689206,0.000000,0.297297,0.738739,0.192771,0.734940,0.638298,0.510638,1.000000,0.590909,0.619565,0.978261,0.000000,0.000000,0.847826,1.000000,1.000000,0.804598,1.000000,0.965517,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_39,passing,0.696016,0.000000,0.351852,0.783019,0.188235,0.741176,0.650485,0.533981,1.000000,0.581081,0.650000,0.990000,0.000000,0.000000,0.850000,1.000000,1.000000,0.797872,1.000000,0.978723,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_4,passing,0.700607,0.000000,0.314815,0.759259,0.195122,0.768293,0.655914,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_41,passing,0.699209,0.000000,0.321101,0.761468,0.192771,0.771084,0.638298,0.787234,1.000000,0.538462,0.629032,0.887097,0.000000,0.000000,0.834711,1.000000,1.000000,0.845455,1.000000,0.972727,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_42,passing,0.699780,0.000000,0.314815,0.759259,0.195122,0.768293,0.634409,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_46,passing,0.717135,0.000000,0.442308,0.911765,0.193548,0.548387,0.730769,1.000000,1.000000,0.523810,0.432432,1.000000,0.000000,0.000000,0.891892,1.000000,1.000000,1.000000,1.000000,0.970588,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_47,passing,0.700607,0.000000,0.314815,0.759259,0.195122,0.768293,0.655914,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_48,passing,0.699780,0.000000,0.314815,0.759259,0.195122,0.768293,0.634409,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_49,passing,0.690392,0.000000,0.305556,0.759259,0.192771,0.722892,0.630435,0.532609,1.000000,0.590909,0.619565,0.978261,0.000000,0.000000,0.847826,1.000000,1.000000,0.804598,1.000000,0.965517,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_5,passing,0.689171,0.000000,0.308411,0.775701,0.190476,0.702381,0.619565,0.532609,1.000000,0.590909,0.608696,0.978261,0.000000,0.000000,0.838710,1.000000,1.000000,0.806818,1.000000,0.965909,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_6,passing,0.700677,0.000000,0.317757,0.757009,0.197531,0.777778,0.645161,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_8,passing,0.691228,0.000000,0.305556,0.759259,0.192771,0.722892,0.652174,0.532609,1.000000,0.590909,0.619565,0.978261,0.000000,0.000000,0.847826,1.000000,1.000000,0.804598,1.000000,0.965517,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_9,passing,0.700607,0.000000,0.314815,0.759259,0.195122,0.768293,0.655914,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_all_dif,passing,0.705787,0.000000,0.430108,0.784946,0.184211,0.763158,0.629213,0.808989,1.000000,0.571429,0.593220,0.855932,0.000000,0.000000,0.850467,1.000000,1.000000,0.909091,1.000000,0.969697,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_all_dif_2,passing,0.697273,0.000000,0.327273,0.763636,0.188235,0.764706,0.653061,0.795918,1.000000,0.516129,0.622047,0.850394,0.000000,0.000000,0.827869,1.000000,1.000000,0.846847,1.000000,0.972973,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_completely_dif,passing,0.659765,0.000000,0.341772,0.822785,0.136364,0.592105,0.570175,0.587719,1.000000,0.259259,0.703704,0.896296,0.000000,0.000000,0.808081,1.000000,0.872093,0.635897,0.943590,0.984043,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_completely_dif_2,passing,0.681375,0.000000,0.482759,0.844828,0.160000,0.588235,0.529412,0.808824,1.000000,0.446154,0.593407,0.956044,0.000000,0.000000,0.911765,0.946032,0.948553,0.561856,0.948454,0.989418,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_15,failing,0.699780,0.000000,0.314815,0.759259,0.195122,0.768293,0.634409,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_18,failing,0.699952,0.000000,0.321101,0.761468,0.192771,0.771084,0.638298,0.787234,1.000000,0.550562,0.622951,0.893443,0.000000,0.000000,0.841667,1.000000,1.000000,0.845455,1.000000,0.972727,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_23,failing,0.699780,0.000000,0.314815,0.759259,0.195122,0.768293,0.634409,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_24,failing,0.699780,0.000000,0.314815,0.759259,0.195122,0.768293,0.634409,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_26,failing,0.699780,0.000000,0.314815,0.759259,0.195122,0.768293,0.634409,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_31,failing,0.699780,0.000000,0.314815,0.759259,0.195122,0.768293,0.634409,0.784946,1.000000,0.568182,0.619835,0.892562,0.000000,0.000000,0.840336,1.000000,1.000000,0.844037,1.000000,0.972477,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
