program,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
seed,seed,0.761601,0.000000,0.351852,0.750000,0.268293,0.865854,0.698925,0.838710,1.000000,0.625000,0.652893,0.933884,0.756303,0.857143,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_1,passing,0.761601,0.000000,0.351852,0.750000,0.268293,0.865854,0.698925,0.838710,1.000000,0.625000,0.652893,0.933884,0.756303,0.857143,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_11,passing,0.766838,0.000000,0.401869,0.780952,0.253012,0.831325,0.712871,0.950495,1.000000,0.594595,0.701389,0.951389,0.683871,0.825806,1.000000,1.000000,0.897059,1.000000,0.985294,1.000000
mutation_14,passing,0.762733,0.000000,0.351852,0.750000,0.268293,0.865854,0.720430,0.838710,1.000000,0.625000,0.652893,0.933884,0.756303,0.857143,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_16,passing,0.784581,0.000000,0.474359,0.828125,0.296296,0.925926,0.961538,0.940000,1.000000,0.588235,0.616438,0.767123,0.718750,0.875000,1.000000,1.000000,0.932203,1.000000,0.983051,1.000000
mutation_19,passing,0.760175,0.000000,0.357798,0.752294,0.265060,0.867470,0.702128,0.840426,1.000000,0.593407,0.661290,0.927419,0.752066,0.851240,1.000000,1.000000,0.900000,1.000000,0.972727,1.000000
mutation_21,passing,0.761915,0.000000,0.355140,0.766355,0.265060,0.855422,0.698925,0.838710,1.000000,0.625000,0.652893,0.933884,0.756303,0.857143,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_22,passing,0.784581,0.000000,0.474359,0.828125,0.296296,0.925926,0.961538,0.940000,1.000000,0.588235,0.616438,0.767123,0.718750,0.875000,1.000000,1.000000,0.932203,1.000000,0.983051,1.000000
mutation_25,passing,0.762733,0.000000,0.351852,0.750000,0.268293,0.865854,0.720430,0.838710,1.000000,0.625000,0.652893,0.933884,0.756303,0.857143,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_27,passing,0.745169,0.000000,0.342593,0.750000,0.265060,0.855422,0.695652,0.586957,1.000000,0.606061,0.652174,0.978261,0.706522,0.880435,1.000000,1.000000,0.873563,1.000000,0.965517,1.000000
mutation_28,passing,0.761979,0.000000,0.355140,0.747664,0.271605,0.864198,0.719101,0.842697,1.000000,0.611765,0.644068,0.932203,0.750000,0.853448,1.000000,1.000000,0.914286,1.000000,0.971429,1.000000
mutation_29,passing,0.758765,0.000000,0.339286,0.732143,0.265060,0.867470,0.694737,0.821053,1.000000,0.625000,0.652893,0.933884,0.756303,0.857143,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_30,passing,0.762733,0.000000,0.351852,0.750000,0.268293,0.865854,0.720430,0.838710,1.000000,0.625000,0.652893,0.933884,0.756303,0.857143,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_32,passing,0.761601,0.000000,0.351852,0.750000,0.268293,0.865854,0.698925,0.838710,1.000000,0.625000,0.652893,0.933884,0.756303,0.857143,1.000000,1.000000,0.899083,1.000000,0.972477,1.000000
mutation_33,passing,0.758902,0.000000,0.348624,0.752294,0.261905,0.857143,0.694737,0.757895,1.000000,0.602410,0.637931,0.982759,0.760684,0.888889,1.000000,1.000000,0.900901,1.000000,0.972973,1.000000
