program,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
seed,seed,0.673859,0.000000,0.194444,0.574074,0.268293,0.743902,0.505376,0.655914,1.000000,0.295455,0.595041,0.859504,0.605042,0.781513,1.000000,1.000000,0.825688,1.000000,0.899083,1.000000
mutation_1,passing,0.674989,0.000000,0.203704,0.574074,0.268293,0.756098,0.505376,0.655914,1.000000,0.295455,0.595041,0.859504,0.605042,0.781513,1.000000,1.000000,0.825688,1.000000,0.899083,1.000000
mutation_11,passing,0.682616,0.000000,0.233645,0.600000,0.277108,0.674699,0.504950,0.881188,1.000000,0.279279,0.625000,0.895833,0.541935,0.735484,1.000000,1.000000,0.816176,1.000000,0.904412,1.000000
mutation_14,passing,0.674991,0.000000,0.194444,0.574074,0.268293,0.743902,0.526882,0.655914,1.000000,0.295455,0.595041,0.859504,0.605042,0.781513,1.000000,1.000000,0.825688,1.000000,0.899083,1.000000
mutation_16,passing,0.701068,0.000000,0.205128,0.656250,0.277778,0.759259,0.942308,0.820000,1.000000,0.313725,0.547945,0.657534,0.546875,0.796875,1.000000,1.000000,0.864407,1.000000,0.932203,1.000000
mutation_19,passing,0.674914,0.000000,0.201835,0.577982,0.265060,0.746988,0.500000,0.648936,1.000000,0.274725,0.612903,0.870968,0.611570,0.785124,1.000000,1.000000,0.827273,1.000000,0.900000,1.000000
mutation_21,passing,0.672612,0.000000,0.186916,0.570093,0.265060,0.734940,0.505376,0.655914,1.000000,0.295455,0.595041,0.859504,0.605042,0.781513,1.000000,1.000000,0.825688,1.000000,0.899083,1.000000
mutation_22,passing,0.701068,0.000000,0.205128,0.656250,0.277778,0.759259,0.942308,0.820000,1.000000,0.313725,0.547945,0.657534,0.546875,0.796875,1.000000,1.000000,0.864407,1.000000,0.932203,1.000000
mutation_25,passing,0.674991,0.000000,0.194444,0.574074,0.268293,0.743902,0.526882,0.655914,1.000000,0.295455,0.595041,0.859504,0.605042,0.781513,1.000000,1.000000,0.825688,1.000000,0.899083,1.000000
mutation_27,passing,0.653892,0.000000,0.194444,0.574074,0.265060,0.734940,0.500000,0.402174,1.000000,0.227273,0.597826,0.913043,0.543478,0.793478,1.000000,1.000000,0.781609,1.000000,0.896552,1.000000
