mutation,label,global,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
mutation_1,passing,0.862955,0.990654,0.977778,0.992683,0.763415,0.764557,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_11,passing,0.629123,1.000000,0.829630,0.792771,0.614458,0.556098,0.552475,0.541414,0.541414,0.524324,0.630556,0.608759,0.557419,0.595455,0.595455,0.595455,0.604412,0.604412,0.604412,0.604412
mutation_14,passing,0.861118,1.000000,0.983333,0.980488,0.753659,0.736709,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_16,passing,0.424374,0.652336,0.442593,0.500000,0.414634,0.417722,0.337634,0.375309,0.375309,0.356818,0.406612,0.392920,0.410084,0.428571,0.428571,0.428571,0.423853,0.423853,0.423853,0.423853
mutation_19,passing,0.850485,0.988889,0.988991,0.985542,0.754217,0.750000,0.778723,0.773171,0.773171,0.784615,0.841935,0.850435,0.859504,0.858491,0.858491,0.858491,0.863636,0.863636,0.863636,0.863636
mutation_21,passing,0.849342,0.949533,0.938889,0.975904,0.751807,0.751899,0.782796,0.777778,0.777778,0.806818,0.859504,0.860177,0.870588,0.859048,0.859048,0.859048,0.864220,0.864220,0.864220,0.864220
mutation_22,passing,0.438627,0.671028,0.457407,0.519512,0.431707,0.432911,0.350538,0.390123,0.390123,0.372727,0.418182,0.405310,0.421849,0.441905,0.441905,0.441905,0.436697,0.436697,0.436697,0.436697
mutation_25,passing,0.836133,0.977570,0.961111,0.951220,0.726829,0.711392,0.748387,0.735802,0.735802,0.781818,0.841322,0.854867,0.865546,0.853333,0.853333,0.853333,0.858716,0.858716,0.858716,0.858716
mutation_27,passing,0.653551,0.958879,0.959259,0.946341,0.667470,0.660759,0.660215,0.466667,0.466667,0.481818,0.555372,0.582301,0.615126,0.619048,0.619048,0.619048,0.634862,0.634862,0.634862,0.634862
mutation_28,passing,0.825476,1.000000,0.931481,0.914634,0.717073,0.713924,0.756989,0.767901,0.767901,0.777273,0.838017,0.837168,0.848739,0.834286,0.834286,0.834286,0.827523,0.827523,0.827523,0.827523
mutation_29,passing,0.850465,0.923214,0.933929,0.973494,0.720482,0.730000,0.764211,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_30,passing,0.861118,1.000000,0.983333,0.980488,0.753659,0.736709,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_32,passing,0.864481,0.996262,0.996296,0.995122,0.765854,0.764557,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_33,passing,0.739447,0.950000,0.950459,0.934940,0.659524,0.635000,0.629474,0.538272,0.538272,0.534091,0.646281,0.708772,0.759664,0.790654,0.790654,0.790654,0.798198,0.798198,0.798198,0.798198
mutation_35,passing,0.847162,0.988889,0.972477,0.966265,0.730120,0.708861,0.772340,0.765854,0.765854,0.806742,0.859016,0.859649,0.870000,0.858491,0.858491,0.858491,0.863636,0.863636,0.863636,0.863636
mutation_36,passing,0.850465,0.923214,0.933929,0.973494,0.720482,0.730000,0.764211,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_37,passing,0.860357,0.988785,0.987037,0.982927,0.734146,0.746835,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_38,passing,0.642281,0.884685,0.897297,0.931707,0.643373,0.645570,0.636170,0.466667,0.466667,0.481818,0.555372,0.582301,0.615126,0.619048,0.619048,0.619048,0.634862,0.634862,0.634862,0.634862
mutation_39,passing,0.528258,0.950000,0.801852,0.759524,0.529412,0.481928,0.462136,0.360494,0.360494,0.363636,0.469421,0.470796,0.482353,0.499048,0.499048,0.499048,0.511927,0.511927,0.511927,0.511927
mutation_4,passing,0.861118,1.000000,0.983333,0.980488,0.753659,0.736709,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_41,passing,0.850485,0.988889,0.988991,0.985542,0.754217,0.750000,0.778723,0.773171,0.773171,0.784615,0.841935,0.850435,0.859504,0.858491,0.858491,0.858491,0.863636,0.863636,0.863636,0.863636
mutation_42,passing,0.864481,0.996262,0.996296,0.995122,0.765854,0.764557,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_46,passing,0.194151,0.429907,0.227778,0.265854,0.200000,0.134177,0.118280,0.135802,0.135802,0.156818,0.195041,0.208850,0.188235,0.188571,0.188571,0.188571,0.181651,0.181651,0.181651,0.181651
mutation_47,passing,0.861118,1.000000,0.983333,0.980488,0.753659,0.736709,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_48,passing,0.837672,0.977570,0.977778,0.970732,0.709756,0.721519,0.748387,0.735802,0.735802,0.781818,0.841322,0.854867,0.865546,0.853333,0.853333,0.853333,0.858716,0.858716,0.858716,0.858716
mutation_49,passing,0.638405,0.938318,0.938889,0.919512,0.648193,0.645570,0.647312,0.451852,0.451852,0.465909,0.543802,0.569912,0.603361,0.605714,0.605714,0.605714,0.622018,0.622018,0.622018,0.622018
mutation_5,passing,0.617296,0.893458,0.887037,0.903614,0.595238,0.620253,0.619355,0.429630,0.429630,0.456818,0.532231,0.559292,0.588235,0.592381,0.592381,0.592381,0.609174,0.609174,0.609174,0.609174
mutation_6,passing,0.835825,0.968224,0.966667,0.956098,0.709756,0.721519,0.748387,0.735802,0.735802,0.781818,0.841322,0.854867,0.865546,0.853333,0.853333,0.853333,0.858716,0.858716,0.858716,0.858716
mutation_8,passing,0.651780,0.958879,0.942593,0.926829,0.667470,0.663291,0.660215,0.466667,0.466667,0.481818,0.555372,0.582301,0.615126,0.619048,0.619048,0.619048,0.634862,0.634862,0.634862,0.634862
mutation_9,passing,0.861118,1.000000,0.983333,0.980488,0.753659,0.736709,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_all_dif,passing,0.578173,0.674766,0.662963,0.663415,0.446341,0.440506,0.477419,0.451852,0.451852,0.493182,0.616529,0.612389,0.596639,0.626667,0.626667,0.626667,0.629358,0.629358,0.629358,0.629358
mutation_all_dif_2,passing,0.716115,0.895413,0.876364,0.869048,0.548235,0.568293,0.575510,0.547126,0.547126,0.612903,0.696063,0.703390,0.755738,0.768224,0.768224,0.768224,0.776577,0.776577,0.776577,0.776577
