mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
mutation_1,passing,0.696493,0.971963,0.907407,0.963415,0.536585,0.569620,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_11,passing,0.484139,1.000000,0.722222,0.698795,0.409639,0.365854,0.356436,0.353535,0.353535,0.351351,0.486111,0.452555,0.438710,0.462121,0.462121,0.462121,0.455882,0.455882,0.455882,0.455882
mutation_14,passing,0.697765,1.000000,0.953704,0.951220,0.536585,0.531646,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_16,passing,0.293371,0.570093,0.342593,0.402439,0.268293,0.253165,0.193548,0.222222,0.222222,0.193182,0.247934,0.238938,0.294118,0.304762,0.304762,0.304762,0.302752,0.302752,0.302752,0.302752
mutation_19,passing,0.678768,0.981481,0.981651,0.975904,0.530120,0.537500,0.521277,0.524390,0.524390,0.560440,0.645161,0.643478,0.669421,0.679245,0.679245,0.679245,0.690909,0.690909,0.690909,0.690909
mutation_21,passing,0.680085,0.878505,0.833333,0.951807,0.554217,0.556962,0.548387,0.555556,0.555556,0.602273,0.677686,0.663717,0.697479,0.685714,0.685714,0.685714,0.697248,0.697248,0.697248,0.697248
mutation_22,passing,0.320710,0.598131,0.370370,0.439024,0.292683,0.278481,0.215054,0.246914,0.246914,0.227273,0.272727,0.265487,0.319328,0.333333,0.333333,0.333333,0.330275,0.330275,0.330275,0.330275
mutation_25,passing,0.648019,0.962617,0.916667,0.902439,0.487805,0.493671,0.483871,0.481481,0.481481,0.522727,0.619835,0.637168,0.672269,0.657143,0.657143,0.657143,0.669725,0.669725,0.669725,0.669725
mutation_27,passing,0.478709,0.934579,0.935185,0.914634,0.457831,0.430380,0.387097,0.271605,0.271605,0.284091,0.371901,0.389381,0.428571,0.419048,0.419048,0.419048,0.440367,0.440367,0.440367,0.440367
mutation_28,passing,0.659408,1.000000,0.870370,0.853659,0.512195,0.506329,0.526882,0.543210,0.543210,0.579545,0.661157,0.646018,0.680672,0.666667,0.666667,0.666667,0.651376,0.651376,0.651376,0.651376
mutation_29,passing,0.682311,0.848214,0.848214,0.951807,0.518072,0.525000,0.547368,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_30,passing,0.697765,1.000000,0.953704,0.951220,0.536585,0.531646,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_32,passing,0.702167,0.981308,0.981481,0.975610,0.548780,0.569620,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_33,passing,0.566592,0.925926,0.926606,0.903614,0.452381,0.412500,0.368421,0.308642,0.308642,0.306818,0.454545,0.500000,0.588235,0.607477,0.607477,0.607477,0.621622,0.621622,0.621622,0.621622
mutation_35,passing,0.677280,0.981481,0.935780,0.927711,0.506024,0.493671,0.531915,0.536585,0.536585,0.595506,0.672131,0.657895,0.691667,0.679245,0.679245,0.679245,0.690909,0.690909,0.690909,0.690909
mutation_36,passing,0.682311,0.848214,0.848214,0.951807,0.518072,0.525000,0.547368,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_37,passing,0.698885,0.981308,0.981481,0.975610,0.524390,0.531646,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_38,passing,0.461364,0.801802,0.801802,0.878049,0.445783,0.430380,0.372340,0.271605,0.271605,0.284091,0.371901,0.389381,0.428571,0.419048,0.419048,0.419048,0.440367,0.440367,0.440367,0.440367
mutation_39,passing,0.374152,0.925926,0.685185,0.654762,0.329412,0.301205,0.271845,0.197531,0.197531,0.181818,0.305785,0.318584,0.352941,0.342857,0.342857,0.342857,0.339450,0.339450,0.339450,0.339450
mutation_4,passing,0.697765,1.000000,0.953704,0.951220,0.536585,0.531646,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_41,passing,0.678768,0.981481,0.981651,0.975904,0.530120,0.537500,0.521277,0.524390,0.524390,0.560440,0.645161,0.643478,0.669421,0.679245,0.679245,0.679245,0.690909,0.690909,0.690909,0.690909
mutation_42,passing,0.702167,0.981308,0.981481,0.975610,0.548780,0.569620,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_46,passing,0.121062,0.345794,0.148148,0.170732,0.109756,0.075949,0.064516,0.074074,0.074074,0.079545,0.123967,0.132743,0.117647,0.114286,0.114286,0.114286,0.110092,0.110092,0.110092,0.110092
mutation_47,passing,0.697765,1.000000,0.953704,0.951220,0.536585,0.531646,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
mutation_48,passing,0.653023,0.962617,0.962963,0.951220,0.487805,0.493671,0.483871,0.481481,0.481481,0.522727,0.619835,0.637168,0.672269,0.657143,0.657143,0.657143,0.669725,0.669725,0.669725,0.669725
mutation_49,passing,0.451385,0.906542,0.907407,0.878049,0.433735,0.405063,0.365591,0.246914,0.246914,0.250000,0.347107,0.362832,0.403361,0.390476,0.390476,0.390476,0.412844,0.412844,0.412844,0.412844
mutation_5,passing,0.421406,0.775701,0.740741,0.807229,0.392857,0.392405,0.333333,0.234568,0.234568,0.250000,0.338843,0.353982,0.394958,0.380952,0.380952,0.380952,0.403670,0.403670,0.403670,0.403670
mutation_6,passing,0.651402,0.953271,0.953704,0.939024,0.487805,0.493671,0.483871,0.481481,0.481481,0.522727,0.619835,0.637168,0.672269,0.657143,0.657143,0.657143,0.669725,0.669725,0.669725,0.669725
mutation_8,passing,0.474371,0.934579,0.888889,0.865854,0.457831,0.443038,0.387097,0.271605,0.271605,0.284091,0.371901,0.389381,0.428571,0.419048,0.419048,0.419048,0.440367,0.440367,0.440367,0.440367
mutation_9,passing,0.697765,1.000000,0.953704,0.951220,0.536585,0.531646,0.559140,0.567901,0.567901,0.613636,0.685950,0.672566,0.705882,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422
