mutation,label,overall,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
mutation_12,passing,0.692097,0.518987,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.943662,0.859649,0.777778,0.625899,0.652778,0.750000,,,1.000000,,0.368421,,0.651515,,,,,
mutation_16,passing,0.084990,0.187192,0.121622,0.019608,0.215909,0.047619,0.050000,0.037037,,0.136000,0.049505,0.000000,0.101449,0.090909,0.115385,,,0.103448,,0.000000,,0.084158,,,,,
mutation_19,passing,0.082927,0.297468,0.103448,0.028571,0.211268,0.071429,0.047619,0.000000,,0.135417,0.058824,0.000000,0.101911,0.082840,0.111111,,,0.000000,,0.000000,,0.076923,,,,,
mutation_2,passing,0.084990,0.187192,0.121622,0.019608,0.215909,0.047619,0.050000,0.037037,,0.136000,0.049505,0.000000,0.101449,0.090909,0.115385,,,0.103448,,0.000000,,0.084158,,,,,
mutation_20,passing,0.658555,0.538462,0.676768,0.181818,0.582090,0.466667,0.782609,0.750000,,0.971429,0.859649,0.777778,0.649635,0.676056,0.750000,,,0.828571,,0.368421,,0.676923,,,,,
mutation_23,passing,0.692097,0.518987,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.943662,0.859649,0.777778,0.625899,0.652778,0.750000,,,1.000000,,0.368421,,0.651515,,,,,
mutation_25,passing,0.084990,0.187192,0.121622,0.019608,0.215909,0.047619,0.050000,0.037037,,0.136000,0.049505,0.000000,0.101449,0.090909,0.115385,,,0.103448,,0.000000,,0.084158,,,,,
mutation_28,passing,0.156559,0.212121,0.238806,0.019608,0.426667,0.142857,0.050000,0.039216,,0.239583,0.119048,0.000000,0.121547,0.116402,0.150000,,,0.391304,,0.130435,,0.107345,,,,,
mutation_3,passing,0.658555,0.538462,0.676768,0.181818,0.582090,0.466667,0.782609,0.750000,,0.971429,0.859649,0.777778,0.649635,0.676056,0.750000,,,0.828571,,0.368421,,0.676923,,,,,
mutation_32,passing,0.082927,0.297468,0.103448,0.028571,0.211268,0.071429,0.047619,0.000000,,0.135417,0.058824,0.000000,0.101911,0.082840,0.111111,,,0.000000,,0.000000,,0.076923,,,,,
mutation_36,passing,0.701889,0.538462,0.711340,0.181818,0.606061,0.692308,0.866667,0.866667,,0.971429,0.859649,0.777778,0.661765,0.687943,0.750000,,,1.000000,,0.368421,,0.689922,,,,,
