mutation,label,overall,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
mutation_12,passing,0.757631,0.632850,0.801418,0.181818,0.606061,0.777778,0.909091,0.916667,,0.947368,0.920792,0.952381,0.746341,0.768519,0.826087,,,1.000000,,0.368421,,0.766497,,,,,
mutation_16,passing,0.095094,0.232727,0.123894,0.019608,0.215909,0.066667,0.086207,0.045455,,0.125926,0.043011,0.050633,0.107692,0.100287,0.102564,,,0.103448,,0.000000,,0.097484,,,,,
mutation_19,passing,0.089836,0.379630,0.121053,0.028571,0.211268,0.095238,0.076923,0.000000,,0.123810,0.046667,0.000000,0.092742,0.077778,0.111111,,,0.000000,,0.000000,,0.072581,,,,,
mutation_2,passing,0.095094,0.232727,0.123894,0.019608,0.215909,0.066667,0.086207,0.045455,,0.125926,0.043011,0.050633,0.107692,0.100287,0.102564,,,0.103448,,0.000000,,0.097484,,,,,
mutation_20,passing,0.730153,0.648780,0.776224,0.181818,0.582090,0.600000,0.850746,0.840000,,0.973333,0.920792,0.952381,0.763547,0.785047,0.826087,,,0.828571,,0.368421,,0.784615,,,,,
mutation_23,passing,0.757631,0.632850,0.801418,0.181818,0.606061,0.777778,0.909091,0.916667,,0.947368,0.920792,0.952381,0.746341,0.768519,0.826087,,,1.000000,,0.368421,,0.766497,,,,,
mutation_25,passing,0.095094,0.232727,0.123894,0.019608,0.215909,0.066667,0.086207,0.045455,,0.125926,0.043011,0.050633,0.107692,0.100287,0.102564,,,0.103448,,0.000000,,0.097484,,,,,
mutation_28,passing,0.160678,0.251852,0.251232,0.019608,0.421053,0.166667,0.105263,0.017857,,0.219048,0.087500,0.000000,0.136691,0.123746,0.129032,,,0.391304,,0.130435,,0.119565,,,,,
mutation_3,passing,0.730153,0.648780,0.776224,0.181818,0.582090,0.600000,0.850746,0.840000,,0.973333,0.920792,0.952381,0.763547,0.785047,0.826087,,,0.828571,,0.368421,,0.784615,,,,,
mutation_32,passing,0.089836,0.379630,0.121053,0.028571,0.211268,0.095238,0.076923,0.000000,,0.123810,0.046667,0.000000,0.092742,0.077778,0.111111,,,0.000000,,0.000000,,0.072581,,,,,
mutation_36,passing,0.765134,0.648780,0.801418,0.181818,0.606061,0.777778,0.909091,0.916667,,0.973333,0.920792,0.952381,0.772277,0.793427,0.826087,,,1.000000,,0.368421,,0.793814,,,,,
mutation_37,passing,0.730153,0.648780,0.776224,0.181818,0.582090,0.600000,0.850746,0.840000,,0.973333,0.920792,0.952381,0.763547,0.785047,0.826087,,,0.828571,,0.368421,,0.784615,,,,,
mutation_38,passing,0.162603,0.392562,0.263682,0.106383,0.250000,0.107143,0.262626,0.095238,,0.213115,0.060109,0.108108,0.154839,0.147147,0.200000,,,0.103448,,0.000000,,0.137255,,,,,
mutation_39,passing,0.272141,0.557604,0.638710,0.155556,0.459459,0.280000,0.270000,0.211268,,0.231405,0.131429,0.000000,0.200000,0.184953,0.233333,,,0.391304,,0.238095,,0.171141,,,,,
mutation_4,passing,0.088654,0.360731,0.121053,0.028571,0.211268,0.095238,0.076923,0.000000,,0.123810,0.046667,0.000000,0.092742,0.077778,0.111111,,,0.000000,,0.000000,,0.072581,,,,,
mutation_40,passing,0.730153,0.648780,0.776224,0.181818,0.582090,0.600000,0.850746,0.840000,,0.973333,0.920792,0.952381,0.763547,0.785047,0.826087,,,0.828571,,0.368421,,0.784615,,,,,
mutation_42,passing,0.757631,0.632850,0.801418,0.181818,0.606061,0.777778,0.909091,0.916667,,0.947368,0.920792,0.952381,0.746341,0.768519,0.826087,,,1.000000,,0.368421,,0.766497,,,,,
mutation_44,passing,0.765134,0.648780,0.801418,0.181818,0.606061,0.777778,0.909091,0.916667,,0.973333,0.920792,0.952381,0.772277,0.793427,0.826087,,,1.000000,,0.368421,,0.793814,,,,,
mutation_47,passing,0.095094,0.232727,0.123894,0.019608,0.215909,0.066667,0.086207,0.045455,,0.125926,0.043011,0.050633,0.107692,0.100287,0.102564,,,0.103448,,0.000000,,0.097484,,,,,
mutation_5,passing,0.040384,0.104348,0.040000,0.000000,0.193548,0.000000,0.000000,0.000000,,0.111111,0.046875,0.000000,0.041096,0.034483,0.041667,,,0.000000,,0.000000,,0.033019,,,,,
mutation_50,passing,0.757631,0.632850,0.801418,0.181818,0.606061,0.777778,0.909091,0.916667,,0.947368,0.920792,0.952381,0.746341,0.768519,0.826087,,,1.000000,,0.368421,,0.766497,,,,,
mutation_8,passing,0.272141,0.557604,0.638710,0.155556,0.459459,0.280000,0.270000,0.211268,,0.231405,0.131429,0.000000,0.200000,0.184953,0.233333,,,0.391304,,0.238095,,0.171141,,,,,
mutation_10,failing,0.765134,0.648780,0.801418,0.181818,0.606061,0.777778,0.909091,0.916667,,0.973333,0.920792,0.952381,0.772277,0.793427,0.826087,,,1.000000,,0.368421,,0.793814,,,,,
mutation_11,failing,0.765134,0.648780,0.801418,0.181818,0.606061,0.777778,0.909091,0.916667,,0.973333,0.920792,0.952381,0.772277,0.793427,0.826087,,,1.000000,,0.368421,,0.793814,,,,,
mutation_14,failing,0.765134,0.648780,0.801418,0.181818,0.606061,0.777778,0.909091,0.916667,,0.973333,0.920792,0.952381,0.772277,0.793427,0.826087,,,1.000000,,0.368421,,0.793814,,,,,
mutation_17,failing,0.765134,0.648780,0.801418,0.181818,0.606061,0.777778,0.909091,0.916667,,0.973333,0.920792,0.952381,0.772277,0.793427,0.826087,,,1.000000,,0.368421,,0.793814,,,,,
