mutation,label,overall,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
mutation_12,passing,0.827254,0.766764,0.878788,0.761006,0.606061,0.860465,0.926829,0.948718,,0.966942,0.911111,0.904762,0.807407,0.822064,0.885714,,,1.000000,,0.368421,,0.821012,,,,,
mutation_16,passing,0.085582,0.167308,0.090110,0.052632,0.215909,0.066667,0.060403,0.101449,,0.100000,0.036145,0.025000,0.091314,0.086681,0.116667,,,0.083333,,0.000000,,0.075688,,,,,
mutation_19,passing,0.080376,0.319783,0.109827,0.071823,0.211268,0.056604,0.025316,0.000000,,0.096045,0.043478,0.000000,0.088757,0.077994,0.119048,,,0.000000,,0.000000,,0.066066,,,,,
mutation_2,passing,0.085582,0.167308,0.090110,0.052632,0.215909,0.066667,0.060403,0.101449,,0.100000,0.036145,0.025000,0.091314,0.086681,0.116667,,,0.083333,,0.000000,,0.075688,,,,,
mutation_20,passing,0.809412,0.787611,0.878788,0.772152,0.582090,0.772727,0.855422,0.900000,,0.983333,0.911111,0.904762,0.820896,0.835125,0.885714,,,0.857143,,0.368421,,0.835294,,,,,
mutation_23,passing,0.827254,0.766764,0.878788,0.761006,0.606061,0.860465,0.926829,0.948718,,0.966942,0.911111,0.904762,0.807407,0.822064,0.885714,,,1.000000,,0.368421,,0.821012,,,,,
mutation_25,passing,0.085582,0.167308,0.090110,0.052632,0.215909,0.066667,0.060403,0.101449,,0.100000,0.036145,0.025000,0.091314,0.086681,0.116667,,,0.083333,,0.000000,,0.075688,,,,,
mutation_28,passing,0.185409,0.257261,0.295039,0.217391,0.410256,0.220588,0.060811,0.148515,,0.193182,0.101449,0.000000,0.163588,0.151282,0.177778,,,0.300000,,0.130435,,0.138965,,,,,
mutation_3,passing,0.809412,0.787611,0.878788,0.772152,0.582090,0.772727,0.855422,0.900000,,0.983333,0.911111,0.904762,0.820896,0.835125,0.885714,,,0.857143,,0.368421,,0.835294,,,,,
mutation_32,passing,0.080376,0.319783,0.109827,0.071823,0.211268,0.056604,0.025316,0.000000,,0.096045,0.043478,0.000000,0.088757,0.077994,0.119048,,,0.000000,,0.000000,,0.066066,,,,,
